model,num_atoms,atom_name,lattice_constant,time,std,precision,gpu
eSEN-30M-MP,8,Si,5.43,658.2193374633789,506.93667739236815,float32,NVIDIA A100-SXM4-80GB
eSEN-30M-MP,64,Si,5.43,2514.312267303467,224.73021565865793,float32,NVIDIA A100-SXM4-80GB
eSEN-30M-MP,216,Si,5.43,8340.74592590332,0.0,float32,NVIDIA A100-SXM4-80GB
eSEN-30M-MP,512,Si,5.43,18371.04320526123,0.0,float32,NVIDIA A100-SXM4-80GB
eSEN-30M-MP,1000,Si,5.43,43295.83191871643,0.0,float32,NVIDIA A100-SXM4-80GB
NequIP-MP-L,8,Si,5.43,4.352331161499023,0.24360893199147796,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,64,Si,5.43,6.439447402954102,0.2680815572543424,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,216,Si,5.43,9.119868278503418,0.12102595530924459,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,512,Si,5.43,16.58952236175537,0.2686277605998957,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,1000,Si,5.43,26.432156562805176,0.23021517998229518,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,1728,Si,5.43,40.938735008239746,0.4899938841166654,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,2744,Si,5.43,59.87536907196045,0.649152393650882,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,4096,Si,5.43,86.30585670471191,0.7580681331032149,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,5832,Si,5.43,119.57645416259766,0.7202711294043382,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,8000,Si,5.43,162.4898910522461,1.0097584077014952,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,10648,Si,5.43,232.83863067626953,2.158542472913158,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,13824,Si,5.43,279.16622161865234,0.5072793550653527,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,17576,Si,5.43,335.39295196533203,1.4256909170207643,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,21952,Si,5.43,415.33470153808594,1.7339977633549701,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,27000,Si,5.43,505.68997859954834,3.017559168837697,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,32768,Si,5.43,605.853796005249,4.299207861661448,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,39304,Si,5.43,767.981767654419,2.6490449109059875,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,8,Si,5.43,5.21087646484375,0.1395466452515988,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,64,Si,5.43,9.359478950500488,0.20066176697261404,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,216,Si,5.43,17.623066902160645,0.3523031885547382,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,512,Si,5.43,37.47904300689697,0.7437024646695245,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,1000,Si,5.43,68.4128999710083,1.0181464759903291,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,1728,Si,5.43,115.36777019500732,1.0543379551066037,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,2744,Si,5.43,177.46758460998535,0.49758678651788646,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,4096,Si,5.43,251.06191635131836,0.19312795129908833,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,5832,Si,5.43,353.55257987976074,0.7013371728814451,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,8000,Si,5.43,481.99009895324707,1.8790512507723418,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,10648,Si,5.43,657.3649644851685,0.4980106575841571,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,13824,Si,5.43,847.3132848739624,2.474841823832682,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,17576,Si,5.43,1074.8989582061768,0.5121015609882663,float32,NVIDIA H100 80GB HBM3
