model,num_atoms,atom_name,lattice_constant,time,std,precision,gpu
Nequix-MP-1.5,8,Si,5.43,14.607787132263184,0.7944755885867333,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,64,Si,5.43,9.983539581298828,3.0284696765443,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,216,Si,5.43,11.03830337524414,0.2700229230263603,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,512,Si,5.43,13.951301574707031,0.17790990708951457,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,1000,Si,5.43,17.99154281616211,0.4463124486310681,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,1728,Si,5.43,27.02784538269043,0.33468243228700834,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,2744,Si,5.43,38.559556007385254,0.43359953841328763,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,4096,Si,5.43,54.02994155883789,0.6287182543881266,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,5832,Si,5.43,74.23949241638184,0.8943278045368777,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,8000,Si,5.43,99.52688217163086,1.8826330391647912,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,10648,Si,5.43,150.75314044952393,2.5723301273617944,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,13824,Si,5.43,192.5257444381714,0.2584405822510933,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,17576,Si,5.43,231.4242124557495,1.7493128250427994,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,21952,Si,5.43,284.84368324279785,2.4187848695321055,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,27000,Si,5.43,342.7000045776367,3.38073358187016,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,32768,Si,5.43,411.4253520965576,0.6938668749048604,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,39304,Si,5.43,491.73665046691895,2.99405160497674,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,46656,Si,5.43,575.8755207061768,0.8766770839535374,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,54872,Si,5.43,680.1943778991699,0.5134660416531813,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1.5,64000,Si,5.43,780.53879737854,0.7338879376804432,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,8,Si,5.43,5.165815353393555,0.08678217805873933,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,64,Si,5.43,13.200163841247559,0.2247130620736514,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,216,Si,5.43,49.61538314819336,0.22661977035643532,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,512,Si,5.43,87.2732400894165,0.4575750129908486,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,1000,Si,5.43,195.38509845733643,0.7889943958241861,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,1728,Si,5.43,283.252477645874,2.0880002862494305,float32,NVIDIA H100 80GB HBM3
