model,atoms,time,std,precision,gpu
Nequix-MP-1,8,25.118708610534668,4.341643466897898,float32,Tesla T4
Nequix-MP-1,64,16.53897762298584,0.9454646602948755,float32,Tesla T4
Nequix-MP-1,216,70.07849216461182,5.343140199509437,float32,Tesla T4
Nequix-MP-1,512,141.84904098510742,14.97158108320653,float32,Tesla T4
Nequix-MP-1,1000,293.6983108520508,7.6556319794190975,float32,Tesla T4
Nequix-MP-1,1728,464.39218521118164,22.29819836640176,float32,Tesla T4
Nequix-MP-1,2744,727.1902561187744,8.482946560853474,float32,Tesla T4
GRACE-2L-MPtrj,8,16.042351722717285,0.5723124387501916,float32,Tesla T4
GRACE-2L-MPtrj,64,67.75712966918945,5.828619137180685,float32,Tesla T4
GRACE-2L-MPtrj,216,238.8453483581543,20.61780726018625,float32,Tesla T4
GRACE-2L-MPtrj,512,461.6110324859619,4.431168550077466,float32,Tesla T4
GRACE-2L-MPtrj,1000,942.3109292984009,61.947853195388554,float32,Tesla T4
GRACE-2L-MPtrj,1728,1600.1964807510376,71.88257380218012,float32,Tesla T4
MACE-MP-0,8,48.517465591430664,111.84659372232676,float32,Tesla T4
MACE-MP-0,64,55.812835693359375,10.908108741367323,float32,Tesla T4
MACE-MP-0,216,94.6730375289917,8.606987651673958,float32,Tesla T4
MACE-MP-0,512,148.47731590270996,26.879594071968445,float32,Tesla T4
MACE-MP-0,1000,294.2156791687012,3.8508290431322223,float32,Tesla T4
MACE-MP-0,1728,418.8241958618164,47.76218636293021,float32,Tesla T4
MACE-MP-0,2744,609.3869209289551,10.54738833019005,float32,Tesla T4
MACE-MP-0,4096,996.9747066497803,49.399398749466684,float32,Tesla T4
eSEN-6M-OC25,8,76.25293731689453,4.0721172516166515,float32,Tesla T4
eSEN-6M-OC25,64,263.6873722076416,3.456181008667293,float32,Tesla T4
eSEN-6M-OC25,216,851.8679141998291,0.5340122154995618,float32,Tesla T4
eSEN-6M-OC25,512,2020.8556652069092,3.432864706049223,float32,Tesla T4
eSEN-6M-OC25,1000,3992.6507472991943,7.564544677734375,float32,Tesla T4
eSEN-6M-OC25,1728,7021.733999252319,0.0,float32,Tesla T4
eSEN-6M-OC25,2744,11603.159189224243,0.0,float32,Tesla T4
