model,atoms,time,std,precision,gpu
Nequix-MP-1,8,16.972064971923828,0.6240752263808008,float32,Tesla T4
Nequix-MP-1,64,108.11114311218262,2.3728826294146548,float32,Tesla T4
Nequix-MP-1,216,465.34502506256104,14.31823680059421,float32,Tesla T4
Nequix-MP-1,512,1116.6852712631226,23.9670257077897,float32,Tesla T4
Nequix-MP-1.5,8,27.4122953414917,4.479871010836845,float32,Tesla T4
Nequix-MP-1.5,64,16.904354095458984,1.4645003725859895,float32,Tesla T4
Nequix-MP-1.5,216,73.8227367401123,9.974219199905123,float32,Tesla T4
Nequix-MP-1.5,512,131.08408451080322,5.5831663035623045,float32,Tesla T4
Nequix-MP-1.5,1000,298.5880374908447,22.867679130337752,float32,Tesla T4
Nequix-MP-1.5,1728,467.4774408340454,18.553926060142594,float32,Tesla T4
Nequix-MP-1.5,2744,744.5437908172607,24.324660646452084,float32,Tesla T4
GRACE-2L-MPtrj,8,16.47639274597168,0.8264796426574712,float32,Tesla T4
GRACE-2L-MPtrj,64,68.55857372283936,4.82577840893501,float32,Tesla T4
GRACE-2L-MPtrj,216,226.73702239990234,1620.3136104767418,float32,Tesla T4
GRACE-2L-MPtrj,512,475.32129287719727,24.872221108340483,float32,Tesla T4
GRACE-2L-MPtrj,1000,979.1531562805176,52.70456676208975,float32,Tesla T4
GRACE-2L-MPtrj,1728,1606.6325902938843,73.96120248946767,float32,Tesla T4
MACE-MP-0,8,51.87535285949707,8.245491357361807,float32,Tesla T4
MACE-MP-0,64,60.11009216308594,12.856542559470785,float32,Tesla T4
MACE-MP-0,216,105.45504093170166,19.483261976917778,float32,Tesla T4
MACE-MP-0,512,138.4028196334839,12.414006296132605,float32,Tesla T4
MACE-MP-0,1000,311.1376762390137,39.840124243362744,float32,Tesla T4
MACE-MP-0,1728,445.5629587173462,51.17626755234437,float32,Tesla T4
MACE-MP-0,2744,654.8842191696167,57.920283461264106,float32,Tesla T4
MACE-MP-0,4096,1037.469744682312,80.86879127453126,float32,Tesla T4
eSEN-6M-OC25,8,87.72122859954834,9.303977654478734,float32,Tesla T4
eSEN-6M-OC25,64,280.96652030944824,4.605846801055751,float32,Tesla T4
eSEN-6M-OC25,216,1003.7952661514282,25.08472712671382,float32,Tesla T4
eSEN-6M-OC25,512,2395.9670066833496,9.402663945946909,float32,Tesla T4
